"URL Rewrite Management", "Administrador de urls"
"Pages", "Páginas"
"Postal Code is Optional for the following countries", "Opciones de codigos postales para los siguientes paises"
"Allow Countries", "Paises habilitados"
"European Union Countries", "Paises de la union europea"
"State is required for", "Estados requerios para"
"Display not required State", "No mostrar stados requeridos"
"Countries Options", "Opciones de paises"
"States Options", "Opciones de estados"
"Locale Options", "Opciones de idioma"
"Default Country", "Paises por defecto"
"Mobile", "Moviles"
"Manage Apps", "Administración de aplicaciones"
"Submission History", "Historico"
"Message Templates", "Templates de mensajeria"
"Message Queue", "Cola de mensajes"
"Transactions", "Transacciones"
"Recurring Profiles (beta)", "Perfiles recurrentes"
"Billing Agreements", "Acuerdos de facturación"
"Order Statuses","Estado de ordenes"
"Refresh Statistics","Actualizar estadísticas" 